Serial,DC Number,Party Name,Party Place,Party Taluka,Party District,Crop,Variety,Packet,Date,Transport,LR Number,Freight
1,MRN-01,Pravin Hardware&General Stores,Kasoda,Erandol,Jalgaon,Cotton,Super-971,239,7/12/2022,,,
2,MRN-01,Pravin Hardware&General Stores,Kasoda,Erandol,Jalgaon,Cotton,Super-931,203,7/12/2022,,,
3,MRN-01,Pravin Hardware&General Stores,Kasoda,Erandol,Jalgaon,Maize,Super-777,39,7/12/2022,,,
4,MRN-01,Pravin Hardware&General Stores,Kasoda,Erandol,Jalgaon,Maize,Super-1177,14,7/12/2022,,,
5,MRN-02,Kalyani Krishi Kendra,Gumgaon,Hingana,Nagpur,Cotton,Super-971,111,7/14/2022,,,
6,MRN-02,Kalyani Krishi Kendra,Gumgaon,Hingana,Nagpur,Cotton,Super-931,79,7/14/2022,,,
7,MRN-03,Choudhary Brothers,Nagpur,Nagpur,Nagpur,Cotton,Super-931,717,7/14/2022,,,
8,MRN-03,Choudhary Brothers,Nagpur,Nagpur,Nagpur,Cotton,Super-971,180,7/13/2022,,,
9,MRN-06,Vijay Krishi Mandir,Chalisgaon,Chalisgaon,Jalgaon,Cotton,Super-971,27,7/15/2022,,,
10,MRN-06,Vijay Krishi Mandir,Chalisgaon,Chalisgaon,Jalgaon,Cotton,Super-931,30,7/15/2022,,,
11,MRN-08,Bothra Krushi Kendra,Ralegaon,Ralegaon,Yavatmal,Cotton,Super-971,16,7/16/2022,,,
12,MRN-08,Bothra Krushi Kendra,Ralegaon,Ralegaon,Yavatmal,Cotton,Super-931,2,7/16/2022,,,
13,MRN-09,Jay Malhare Agro Agencies,Digras,Digras,Yavatmal,Cotton,Super-931,60,7/16/2022,,,
14,MRN-09,Jay Malhare Agro Agencies,Digras,Digras,Yavatmal,Cotton,Super-971,60,7/15/2022,,,
15,MRN-11,Gayatri Agro Agencies,Parola,Parola,Jalgaon,Cotton,Super-971,73,7/17/2022,,,
16,MRN-11,Gayatri Agro Agencies,Parola,Parola,Jalgaon,Cotton,Super-931,43,7/18/2022,,,
17,MRN-14,Gurumauli Krishi Kendra-Dharangaon,Dharangaon,Dharangaon,Jalgaon,Cotton,Super-971,145,7/20/2022,,,
18,MRN-14,Gurumauli Krishi Kendra-Dharangaon,Dharangaon,Dharangaon,Jalgaon,Cotton,Super-931,144,7/19/2022,,,
19,MRN-14,Gurumauli Krishi Kendra-Dharangaon,Dharangaon,Dharangaon,Jalgaon,Maize,Super-777,11,7/19/2022,,,
20,MRN-15,Gurumauli Krishi Kendra-Dharangaon,Dharangaon,Dharangaon,Jalgaon,Cotton,Super-971,7,7/19/2022,,,
21,MRN-15,Gurumauli Krishi Kendra-Dharangaon,Dharangaon,Dharangaon,Jalgaon,Maize,Super-777,1,7/19/2022,,,
22,MRN-16,Gaurav Krushi Udyog,Vaijapur,Vaijapur,Aurangbad,Cotton,Super-971,398,7/20/2022,,,
23,MRN-16,Gaurav Krushi Udyog,Vaijapur,Vaijapur,Aurangbad,Cotton,Super-931,59,7/20/2022,,,
24,MRN-17,Om Sai Krushi Seva Kendra,Shevgaon,vaijapur,Aurangabad,Cotton,Super-971,88,7/20/2022,,,
25,MRN-17,Om Sai Krushi Seva Kendra,Shevgaon,vaijapur,Aurangabad,Cotton,Super-931,29,7/20/2022,,,
26,MRN-18,Shri Ganesh Krushi Seva Kendra,Phulambri,Phulambri,Aurangabad,Cotton,Super-971,152,7/20/2022,,,
27,MRN-19,Gayatri Agro Agencies,Parola,Parola,Jalgaon,Bajra,Super-78,16,7/20/2022,,,
28,MRN-20,jay Bhadra Krushi Seva Kendra,Shellgaon,Badnapur,Jalna,Cotton,Super-931,92,7/20/2022,,,
29,MRN-20,jay Bhadra Krushi Seva Kendra,Shellgaon,Badnapur,Jalna,Cotton,Super-971,77,7/20/2022,,,
30,MRN-20,jay Bhadra Krushi Seva Kendra,Shellgaon,Badnapur,Jalna,Bajra,Super-78,10,7/20/2022,,,
31,MRN-21,Shri Sai Krushi Seva Kendra,Kannad,Aurangbad,Aurangabad,Cotton,Super-971,101,7/20/2022,,,
32,MRN-21,Shri Sai Krushi Seva Kendra,Kannad,Aurangbad,Aurangabad,Cotton,Super-931,60,7/20/2022,,,
33,MRN-22,Om Sai Krushi Seva Kendra,Shevgaon,vaijapur,Aurangabad,Cotton,Super-931,20,7/20/2022,,,
34,MRN-23,Shri Sai Agro Agencies,Yawal,Yawal,Jalgaon,Cotton,Super-971,30,7/20/2022,,,
35,MRN-23,Shri Sai Agro Agencies,Yawal,Yawal,Jalgaon,Cotton,Super-931,21,7/20/2022,,,
36,MRN-24,Patil Agro Agency,Amalner,Amalner,Jalgaon,Cotton,Super-971,108,7/20/2022,,,
37,MRN-24,Patil Agro Agency,Amalner,Amalner,Jalgaon,Cotton,Super-931,138,7/20/2022,,,
38,MRN-24,Patil Agro Agency,Amalner,Amalner,Jalgaon,Maize,Super-1177,14,7/21/2022,,,
39,MRN-25,Vikas Agro Agency,Bahadarpur,Parola,Jalgaon,Cotton,Super-971,37,7/21/2022,,,
40,MRN-25,Vikas Agro Agency,Bahadarpur,Parola,Jalgaon,Cotton,Super-931,23,7/20/2022,,,
